place_id,num_anomalies_predicted,anomaly_indices,adaptive_threshold,avg_reconstruction_loss,anomaly_threshold,has_ground_truth,num_ground_truth_anomalies,kama_time,forward_time,detect_time,preprocess_time,series_length
4611864748268400448,15,[ 29  94 114 233 240 261 379 380 384 385 398 594 603 707 774],4.0,0.06828602,4.0,True,14,0.22629117965698242,0.003015756607055664,0.01960015296936035,0.0011360645294189453,845
4612088555142300004,11,[ 25  30  31  32 149 181 370 379 559 622 629],4.0,0.5272765,4.0,True,13,0.006056070327758789,0.0037810802459716797,0.018479108810424805,0.00058746337890625,643
4612249398246946328,6,[ 98 272 375 384 388 494],4.0,0.17673598,4.0,True,8,0.004426479339599609,0.011427640914916992,0.012658834457397461,0.0007097721099853516,630
4612577671677689572,13,[109 129 158 221 248 255 283 357 403 416 518 617 636],4.0,0.11793084,4.0,True,11,0.01048588752746582,0.0024116039276123047,0.015619754791259766,0.0010082721710205078,641
4613124139963382736,13,[ 29  36 140 154 157 162 171 172 269 411 427 449 504],4.0,0.2242426,4.0,True,13,0.006022930145263672,0.02066802978515625,0.01713275909423828,0.0007410049438476562,645
4613320429447084082,9,[127 295 490 511 517 518 544 566 568],4.0,0.6133439,4.0,True,7,0.003822803497314453,0.0023071765899658203,0.016886472702026367,0.0008873939514160156,645
4614070236986914067,9,[ 85 170 259 288 408 409 521 610 625],4.0,0.52718437,4.0,True,13,0.007372379302978516,0.002460479736328125,0.017073631286621094,0.0007281303405761719,643
4614585987297941337,15,[107 227 229 246 340 344 346 364 378 386 387 388 389 592 608],4.0,0.42824304,4.0,True,13,0.004325389862060547,0.002972126007080078,0.01865863800048828,0.0005707740783691406,644
4615670151797961871,1,[33],4.0,0.04323525,4.0,True,2,0.00913548469543457,0.003116607666015625,0.0029044151306152344,0.0010492801666259766,90
4617017560578976530,14,[ 22  26  46  47  62  70  76  91 214 221 228 235 250 461],4.0,0.08451995,4.0,True,8,0.004275798797607422,0.01148366928100586,0.01574087142944336,0.0011446475982666016,486
4617159628722080630,7,[ 37  38  43 135 136 137 247],4.0,0.08818501,4.0,True,6,0.00479435920715332,0.01801443099975586,0.00570368766784668,0.0011372566223144531,301
4617284432736673595,11,[161 193 233 259 289 379 380 381 423 505 506],4.0,0.3531817,4.0,True,16,0.0038526058197021484,0.0027146339416503906,0.0264132022857666,0.002552032470703125,645
4617505612717757046,2,[ 40 240],4.0,1.3869811,4.0,True,8,0.0035552978515625,0.011852741241455078,0.00695037841796875,0.00673985481262207,362
4618181174669096910,11,[384 387 388 389 390 391 392 393 585 594 609],4.0,0.47300944,4.0,True,16,0.003596782684326172,0.00852513313293457,0.013580560684204102,0.0008084774017333984,645
4618326887843671643,6,[159 186 317 360 461 468],4.0,0.4878253,4.0,True,11,0.0042514801025390625,0.002329587936401367,0.009893178939819336,0.0011370182037353516,534
4618450758643546965,10,[ 33  34  52  53 245 271 387 388 517 518],4.0,0.6391523,4.0,True,12,0.006269216537475586,0.015420675277709961,0.014780998229980469,0.0008466243743896484,644
4618811701739946596,9,[ 19  46  53  54 113 240 243 271 285],4.0,0.18626891,4.0,True,6,0.0021567344665527344,0.02071094512939453,0.010447502136230469,0.0009613037109375,305
4618851997145527336,6,[150 152 309 335 417 428],4.0,0.30713066,4.0,True,9,0.003710031509399414,0.0021088123321533203,0.016399621963500977,0.0011148452758789062,630
4619107164514240020,1,[58],4.0,0.21456604,4.0,True,3,0.005460977554321289,0.009062767028808594,0.0034089088439941406,0.0018804073333740234,150
4619473601102836221,8,[107 108 109 110 230 231 329 332],4.0,0.1206869,4.0,True,9,0.0039980411529541016,0.002492189407348633,0.014296770095825195,0.0013420581817626953,368
4619882972180359955,16,[ 57  75  81  95  96 116 197 269 297 339 414 419 427 539 540 572],4.0,0.07852582,4.0,True,10,0.0037708282470703125,0.010411977767944336,0.017868757247924805,0.0014386177062988281,576
4619948752817665977,13,[ 21  29  36  37 170 207 243 346 478 521 527 541 542],4.0,0.095691696,4.0,True,14,0.00394749641418457,0.002158641815185547,0.01524662971496582,0.0012385845184326172,619
4620117390714778322,9,[ 29  50  93 103 212 276 367 439 636],4.0,1.3101423,4.0,True,7,0.006574392318725586,0.003382444381713867,0.01476597785949707,0.0014662742614746094,645
4621920615327109068,12,[144 155 287 318 323 353 358 378 423 496 499 600],4.0,0.20463869,4.0,True,7,0.0035774707794189453,0.008216142654418945,0.016707897186279297,0.0007827281951904297,635
4622072574751166319,11,[243 282 294 319 355 385 386 387 612 625 632],4.0,0.9129684,4.0,True,14,0.0030641555786132812,0.004433155059814453,0.014368057250976562,0.0007994174957275391,645
4622437239164062165,7,[138 245 249 254 367 370 371],4.0,0.4195332,4.0,True,8,0.0027365684509277344,0.007805347442626953,0.011715888977050781,0.0008640289306640625,374
4622601761085306940,15,[ 67 107 110 134 135 136 249 256 321 439 471 490 495 505 507],4.0,0.027547566,4.0,True,15,0.004454374313354492,0.0021855831146240234,0.016521692276000977,0.0012805461883544922,634
4623970853998737223,2,[ 34 175],4.0,1.2926769,4.0,True,10,0.003061056137084961,0.0020911693572998047,0.007119894027709961,0.002172708511352539,292
4624250602007546761,4,[182 185 187 341],4.0,0.53536487,4.0,True,9,0.0037560462951660156,0.0029349327087402344,0.011096715927124023,0.0007333755493164062,419
4624260416881771099,7,[ 33  42 123 268 322 387 390],4.0,0.20422155,4.0,True,16,0.003790140151977539,0.0021965503692626953,0.017418861389160156,0.0009026527404785156,645
