place_id,num_trend_anomalies_raw,num_trend_anomalies_filtered,num_point_anomalies_raw,num_point_anomalies_filtered,threshold_a,threshold_d,avg_loss_a,avg_loss_d,has_ground_truth,num_ground_truth_anomalies
4611864748268400448,26,18,17,17,0.018682523,0.8309099,0.004669401,0.03534393,True,14
4612088555142300004,20,13,13,13,0.02338493,1.4807305,0.0058744103,0.09190519,True,13
4612249398246946328,19,9,13,13,0.01772448,1.2107135,0.004435821,0.058853142,True,8
4612577671677689572,20,9,13,13,0.01470373,0.96079475,0.005023307,0.06015402,True,11
4613124139963382736,20,18,13,13,0.05499386,1.5917495,0.0072142356,0.09567863,True,13
4613320429447084082,20,19,13,13,0.13514203,0.7117365,0.033032276,0.045546684,True,7
4614070236986914067,20,20,13,13,0.6502296,0.6406161,0.04285028,0.04005751,True,13
4614585987297941337,20,20,13,13,1.370697,0.46967492,0.07304661,0.024174167,True,13
4615670151797961871,3,0,2,2,0.080306195,0.05143327,0.021449296,0.018251413,True,2
4617017560578976530,15,12,10,10,0.010706445,0.21219483,0.002324479,0.023064377,True,8
4617159628722080630,9,9,7,7,0.19473064,1.0343634,0.022341702,0.050568033,True,6
4617284432736673595,20,16,13,13,0.6740251,0.3707473,0.05065493,0.027565612,True,16
4617505612717757046,11,11,8,8,2.5155666,1.4470118,0.18957922,0.0793792,True,8
4618181174669096910,20,20,13,13,0.95544577,0.051732287,0.06840163,0.011690706,True,16
4618326887843671643,16,9,11,11,0.026440784,2.9068637,0.007930769,0.24914005,True,11
4618450758643546965,20,20,13,13,1.7508818,1.0614215,0.10736018,0.051519357,True,12
4618811701739946596,10,4,7,7,0.011782524,1.4379079,0.0033155296,0.066487946,True,6
4618851997145527336,19,11,13,13,0.026440071,0.07923317,0.005691206,0.026478246,True,9
4619107164514240020,5,0,3,3,0.014022336,1.8875234,0.010328022,0.12620413,True,3
4619473601102836221,12,10,8,8,0.36259046,1.4148954,0.038689107,0.058467586,True,9
4619882972180359955,18,12,12,12,0.025095843,0.33580405,0.014408734,0.020388117,True,10
4619948752817665977,19,15,13,13,0.029277137,0.38045287,0.006527722,0.031074448,True,14
4620117390714778322,20,7,13,13,0.015134633,1.060856,0.0031299917,0.08625956,True,7
4621920615327109068,20,18,13,13,0.19054647,1.0931894,0.0238662,0.059916016,True,7
4622072574751166319,20,20,13,13,1.8460189,0.7239404,0.117660604,0.035695907,True,14
4622437239164062165,12,9,8,8,0.14811791,1.5284822,0.027962072,0.11218717,True,8
4622601761085306940,19,14,13,13,0.020135507,0.047815952,0.0056339493,0.009266726,True,15
4623970853998737223,9,3,6,6,1.9244906,2.493501,0.21367064,0.17035782,True,10
4624250602007546761,13,7,9,9,0.016745245,1.6280761,0.009909101,0.117724754,True,9
4624260416881771099,20,13,13,13,0.035431772,1.5054219,0.008545229,0.08385117,True,16
